,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
396,597,635a845d1ab9982803028ac2,2022-03-02T23:00:00.000Z,divine_comedian#5493,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,False,False,hanners717#2022,karmaticacid#1218,freshelle#9882,0.87,21,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
404,590,635a845d1ab9982803028abb,2022-03-02T23:00:00.000Z,ahmad#7204,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,False,False,geleeroyale#3228,karmaticacid#1218,freshelle#9882,1.13,21,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
410,592,635a845d1ab9982803028abd,2022-03-02T23:00:00.000Z,ReForest,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,False,True,False,WhyldWanderer#7002,divine_comedian#5493,Ramin#4479,8.0,21,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
415,614,635a845d1ab9982803028ad3,2022-03-02T23:00:00.000Z,divine_comedian#5493,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,False,False,hanners717#2022,karmaticacid#1218,freshelle#9882,7.17,21,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
418,607,635a845d1ab9982803028acc,2022-03-02T23:00:00.000Z,ahmad#7204,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,False,False,geleeroyale#3228,karmaticacid#1218,freshelle#9882,1.13,21,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
434,593,635a845d1ab9982803028abe,2022-03-02T23:00:00.000Z,WhyldWanderer#7002,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,True,False,Nikola Creatrix#5026,divine_comedian#5493,freshelle#9882,7.0,21,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
582,680,635a845d1ab9982803028b15,2022-03-02T23:00:00.000Z,ahmad#7204,hanners717#2022,for creating our General Magic Github. ,False,False,True,geleeroyale#3228,karmaticacid#1218,freshelle#9882,6.0,13,False,for creating our General Magic Github. 
586,679,635a845d1ab9982803028b14,2022-03-02T23:00:00.000Z,ahmad#7204,hanners717#2022,for creating our General Magic website ,False,False,True,geleeroyale#3228,karmaticacid#1218,freshelle#9882,6.0,13,False,for creating our General Magic website 
771,606,635a845d1ab9982803028acb,2022-03-02T23:00:00.000Z,Sym#3186,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,False,False,geleeroyale#3228,karmaticacid#1218,Zeptimus#3359,0.17,8,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
792,578,635a845d1ab9982803028aaf,2022-03-02T23:00:00.000Z,ReForest,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,False,False,WhyldWanderer#7002,divine_comedian#5493,Ramin#4479,3.67,8,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
797,589,635a845d1ab9982803028aba,2022-03-02T23:00:00.000Z,Sym#3186,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,False,False,geleeroyale#3228,karmaticacid#1218,Zeptimus#3359,1.67,8,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
963,609,635a845d1ab9982803028ace,2022-03-02T23:00:00.000Z,ReForest,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,True,False,WhyldWanderer#7002,divine_comedian#5493,Ramin#4479,1.0,3,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
1007,608,635a845d1ab9982803028acd,2022-03-02T23:00:00.000Z,Jahanzaib,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,True,False,WhyldWanderer#7002,cuidadopeligro#4788,Ramin#4479,0.33,1,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
1008,591,635a845d1ab9982803028abc,2022-03-02T23:00:00.000Z,Jahanzaib,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,True,False,WhyldWanderer#7002,cuidadopeligro#4788,Ramin#4479,0.33,1,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
1009,938,635a845d1ab9982803028c17,2022-03-09T23:00:00.000Z,karmaticacid#1218,ClaraZi#5313,and ,False,True,True,Danibelle the Uno and Only#6791,divine_comedian#5493,Zeptimus#3359,0.03,1,False,and 
