,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
9654,1295,repres giveth event virtual confer week poap metafest consensi ,"for representing Giveth at events and virtual conferences this week poap, metafest, consensys ",21.0,Cori#8483,2022-06-22T22:00:00.000Z,
9656,1297,great graviton buddi ,and for being great Graviton buddies ,8.0,ClaraZi#5313,2022-06-29T22:00:00.000Z,
9657,1298,top onboard process ,for being on top of her onboarding process ,13.0,ClaraZi#5313,2022-06-29T22:00:00.000Z,
9658,1299,great buddi call ,for a great Buddy call ,89.0,"Griff (💜,💜)#8888",2022-06-29T22:00:00.000Z,
9661,1303,also hero ,for also being a hero ,5.0,karmaticacid#1218,2022-06-29T22:00:00.000Z,
9664,1306,spend sever hour peer interview new comm contributor ,for spending several hours doing peer interviews for new comms contributors! ,1.3,karmaticacid#1218,2022-07-13T22:00:00.000Z,
9666,1308,awesom content plan session yesterday ,for an awesome content planning session yesterday ,1.3,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9667,1309,artist team great draw parti ,and his artist team for a great drawing party ,13.0,Giantkin#8403,2022-06-22T22:00:00.000Z,
9668,1310,great team mate ,for being great team mates ,5.0,michel.an.jello,2022-06-15T22:00:00.000Z,
9669,1311,awesom content plan session yesterday ,for an awesome content planning session yesterday ,2.1,ClaraZi#5313,2022-06-22T22:00:00.000Z,
9672,1314,great team mate ❤️ ,for being such a great team mate ❤️ ,5.0,ClaraZi#5313,2022-06-22T22:00:00.000Z,
9676,1318,hold mani hand buddi system role propos process contributor reward distribut ,"for holding so many hands through the buddy system, role proposal process and contributor rewards distribution ",8.0,freshelle#9882,2022-06-22T22:00:00.000Z,
9678,1320,alway ,for always being there ,55.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9679,1321,great team mate ,for being great team mates ,5.0,Rodricast#1415,2022-06-15T22:00:00.000Z,
9680,1322,support avail ,for support availability ,5.0,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9681,1323,support avail ,for support availability ,55.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9683,1325,budi trial period reivew ,for my budy trial period reivew ,5.0,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9684,1326,uren keep gitcoin issu get close move forward ,uren for keeping the Gitcoin issues getting closed and moving forward ,13.0,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9685,1327,best giveth influenc ,for being the best Giveth Influencer ,89.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9690,1332,top lot thing giveth fli around ,for being on top of a lot of things for Giveth while flying around ,55.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9692,1334,alway avail answer messag despit constantli busi ,for always being available and answering my messages despite being constantly busy! ,34.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9693,1335,conduct buddi review ,for conducting buddy reviews!!! ,8.0,karmaticacid#1218,2022-06-15T22:00:00.000Z,
9700,1342,repres giveth deep democraci session graviti train ,for representing Giveth at the deep democracy session of gravity training! ,21.0,ClaraZi#5313,2022-06-28T22:00:00.000Z,
9701,1343,amaz present giveth bitdao commun ,for the amazing presentation of Giveth to the bitDAO community ,55.0,"Griff (💜,💜)#8888",2022-06-28T22:00:00.000Z,
9703,1345,alway make smile whenev talk special faster faster talk lol ,"for always making me smile, whenever talking...specially the faster and faster she talks lol ",5.0,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9708,1350,rep giveth well consensu convert degen regen talk enough time prais griff everyth giveth world unicorn  ,for repping Giveth so well at Consensus and converting degens to regens with his talk. Not enough time to praise griff for everything he does for Giveth and the world. <:Unicorn:796437836135923762> ,55.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9709,1351,notetak support govern call today 💜 ,for notetaking support during the Governance call today 💜 ,8.0,karmaticacid#1218,2022-06-26T22:00:00.000Z,
9710,1352,crush comm product manag unicorn unicorn  ,"for crushing comms, product management, and being a unicorn <:Unicorn:796437836135923762> ",2.1,karmaticacid#1218,2022-06-15T22:00:00.000Z,
9714,1356,suggest show impact statement info donor websit ,for suggesting to show impact statement and other info to donors on the website. ,55.0,"Griff (💜,💜)#8888",2022-06-27T22:00:00.000Z,
9717,1359,backend front end releas 😍 ,and for backend and front end release 😍 ,13.0,mohammad_ranjbar_z#2709,2022-06-27T22:00:00.000Z,
9722,1364,keep comm organ ,for keeping comms organized ,2.1,karmaticacid#1218,2022-06-15T22:00:00.000Z,
9723,1365,help fill gap whether need support take note someon bounc idea valid human alway back ❤️ ,"for helping to fill in all of my gaps - whether I need support taking notes, someone to bounce ideas off of or just validation as a human. You always have my back ❤️ ",5.0,karmaticacid#1218,2022-06-29T22:00:00.000Z,
9725,1367,get nice token api time fulli function ,for getting out the $nice token APIs timely and fully functional ,34.0,mohammad_ranjbar_z#2709,2022-07-13T22:00:00.000Z,
9726,1368,post role propos ,for posting her role proposal ,21.0,ClaraZi#5313,2022-06-21T22:00:00.000Z,
9731,1373,great catch meet today ,for great catch up meetings today ,5.0,MoeNick#1374,2022-07-13T22:00:00.000Z,
9732,1374,good product first month ,for having a good and productive first month ,8.0,Jake🐍#0203,2022-07-13T22:00:00.000Z,
9733,1375,hero help everyon everyth constantli put much love life giveth ,"because you are my hero, because you help everyone with everything constantly and put so much love and life into giveth ",34.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9734,1376,creat button platform new donor could connect gnosi chain eas much fun onboard new donor booth eth bcn ,for creating button on platform so new donors could connect to gnosis chain with ease. We had so much fun onboarding new donors at the booth at ETH BCN ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9735,1377,taichi last week giveth hous roof terrac ,for doing Taichi with me last week on the Giveth House roof terrace ,13.0,ClaraZi#5313,2022-07-13T22:00:00.000Z,
9738,1380,pay peopl week despit tight sched ,for paying people this week despite his very tight sched! ,55.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9739,1381,meet person ,for meeting in person! ,11.55,mohammad_ranjbar_z#2709,2022-06-15T22:00:00.000Z,
9740,1382,champion coordin giver pfp project ,for championing and coordinating the Givers PFP project! ,14.7,santigs#9769,2022-06-15T22:00:00.000Z,
9741,1383,implement chang dapp fli make easier user connect gnosi chain particip giveth booth experi eth bcn ,for implementing changes on the dapp on the fly to make it easier for users to connect to gnosis chain and participate in our giveth booth experience at eth bcn ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9746,1388,great session around planabl ,for a great session around planable ,13.0,Cori#8483,2022-06-21T22:00:00.000Z,
9747,1389,great session around planabl ,for a great session around planable ,13.0,ClaraZi#5313,2022-06-21T22:00:00.000Z,
9749,1391,great session around planabl ,for a great session around planable ,13.0,karmaticacid#1218,2022-06-21T22:00:00.000Z,
9752,1394,meet person ,for meeting in person! ,11.55,Ramin#4479,2022-06-15T22:00:00.000Z,
9754,1396,great effort verif ,for their great efforts on Verification. ,13.0,Alireza7612#3020,2022-06-22T22:00:00.000Z,
9757,1399,comm call prep session 🙏 ,for the comms call prep session 🙏 ,8.0,karmaticacid#1218,2022-06-19T22:00:00.000Z,
9760,1402,get earli payment ,for getting early payments out! ,144.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9763,1405,look ethbarc admin ,for looking after ETHBarc admin ,11.55,jessveroes,2022-06-19T22:00:00.000Z,
9765,1407,coordin pushign giveth angel vault ,for coordinating/pushign giveth angel vault ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9766,1408,repres giveth consensu make mani new contract ,"for representing giveth at consensus, making many new contracts ",34.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9767,1409,incred execut web opportun talk ,for the incredible execution of the web3 opportunity talk ,55.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9768,1410,strategi grow giveth comm ,for strategy on growing giveth comms ,8.0,Sym#3186,2022-06-15T22:00:00.000Z,
9770,1412,quick reaction get solv vojtechsimetka ,for quick reaction and getting it solved. - from vojtechsimetka ,5.0,karmaticacid#1218,2022-06-20T22:00:00.000Z,
9772,1414,push variou token swap ,for pushing various token swaps ,34.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9775,1417,show better around regen farm ,for showing me better around the Regen Farms ,5.0,karmaticacid#1218,2022-07-13T22:00:00.000Z,
9777,1419,amaz talk regen economi ,for an amazing talk on regen economies ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9778,1420, liviad amaz talk ethbcn ,@liviade for their amazing talks on ETHBCN ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9779,1421, liviad amaz talk ethbcn ,@liviade for his amazing talks at ETHBCN ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9780,1422, liviad amaz talk ethbcn ,@liviade for his amazing talks at ETHBCN ,2.1,karmaticacid#1218,2022-07-13T22:00:00.000Z,
9782,1424,trust guid make direct payment ,for trusting and guiding me on how to make direct payments ,89.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9783,1425,repres giveth poap commun call almost  viewer ,for representing Giveth at the POAP community call! - almost 2000 viewers! ,21.0,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9788,1430,wonder june newslett ,for a wonderful June newsletter. ,8.0,karmaticacid#1218,2022-06-30T22:00:00.000Z,
9789,1431,bright burn flame seem even kitesess wet sea abl dim ,and for being the bright burning flames they are. It seems even a kitesession in the wet sea is not able to dim them. ,55.0,"Griff (💜,💜)#8888",2022-06-30T22:00:00.000Z,
9790,1432,bright burn flame seem even kitesess wet sea abl dim ,and for being the bright burning flames they are. It seems even a kitesession in the wet sea is not able to dim them. ,8.0,karmaticacid#1218,2022-06-30T22:00:00.000Z,
9792,1434,explor strategi measur demonstr project impact ,for exploring strategies to measure and demonstrate project impact ,21.0,ClaraZi#5313,2022-06-30T22:00:00.000Z,
9794,1436,continu improv comm ,for continuously improving on our comms ,8.0,ClaraZi#5313,2022-06-30T22:00:00.000Z,
9795,1437,thorough onboard evalu process ,and for being thorough with our onboarding and evaluation process ,5.0,freshelle#9882,2022-06-30T22:00:00.000Z,
9796,1438,help renew common stack tuition ,for helping me renew my commons stack tuition ,34.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9798,1440,alway best repres giveth world ,for always being the best at representing Giveth all over the world ,34.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9800,1442,dev team middl east meet team build ,our dev team in the middle east for meeting and doing team building ,8.0,Cherik#4711,2022-06-15T22:00:00.000Z,
9801,1443,awesom approach support around practic offramp fund think actual would love buddi clara ,for awesome approach and support around practicalities with offramping my funds. I think I actually would love to have you as a buddy Clara :)) ,21.0,ClaraZi#5313,2022-06-29T22:00:00.000Z,
9803,1445,simpli whole connect amanita ambasador well organ strategi session invalu depth convo help us unifi team also bring best focu move forward ,simply whole connect amanitas ambasadors for well organized strategy session and invaluable in depth convos that are helping us to unify as a team and also bring the best focus moving forward. ,13.0,ClaraZi#5313,2022-06-29T22:00:00.000Z,
9804,1446,alway best repres giveth world ,for always being the best at representing Giveth all over the world ,2.1,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9806,1448,particip today commun call 💜 logo  ,for participating in today's Community Call! 💜 <:logo:809539267248259092> ,1.0,missgene#7773,2022-06-29T22:00:00.000Z,
9807,1449,particip today commun call 💜 logo  ,for participating in today's Community Call! 💜 <:logo:809539267248259092> ,1.0,Claire#1861,2022-06-29T22:00:00.000Z,
9808,1450,particip today commun call 💜 logo  ,for participating in today's Community Call! 💜 <:logo:809539267248259092> ,5.0,karmaticacid#1218,2022-06-29T22:00:00.000Z,
9809,1451, facilit glove token distribut ,& for facilitating glove token distribution ,34.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9810,1452,gruel review givback data everi round hero ,for the grueling review of GIVbacks data every round - you're a hero! ,55.0,"Griff (💜,💜)#8888",2022-06-29T22:00:00.000Z,
9811,1453, facilit glove token distribut ,& for facilitating glove token distribution ,5.0,freshelle#9882,2022-06-22T22:00:00.000Z,
9816,1458,explor giveth world take care earth heehh ,for exploring the giveth world and take care of the earth heehh ,5.0,DiogoJ,2022-06-15T22:00:00.000Z,
9820,1462,great pm pm manag track project giveth coordin differ manag ,"for being a great PM of PMs, managing and tracking all of the projects in Giveth and coordinating between different managers ",13.0,MoeNick#1374,2022-06-22T22:00:00.000Z,
9821,1463,respons test dapp week ,for their responsiveness while I was testing the dapp this week ,34.0,Ramin#4479,2022-06-22T22:00:00.000Z,
9822,1464,respons test dapp week ,for their responsiveness while I was testing the dapp this week ,34.0,mohammad_ranjbar_z#2709,2022-06-22T22:00:00.000Z,
9824,1466,inspir talk eth bcn endless giveth shill bring us altogeth giveth fam ,"for inspirational talk at ETH BCN, endless Giveth shilling and bringing us altogether in the Giveth fam ",55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9825,1467,respons test dapp week ,for their responsiveness while I was testing the dapp this week ,8.0,MoeNick#1374,2022-06-22T22:00:00.000Z,
9826,1468,shill giveth worldwid onlin offlin differ confer virtual festiv includ metafest consensi poap thing ,"for shilling giveth worldwide online and offline in different conferences and virtual festivals - including metafest, consensys and the POAP thing ",55.0,"Griff (💜,💜)#8888",2022-06-22T22:00:00.000Z,
9827,1469,make sure epic swag eth bcn ,for making sure we have epic swag for ETH BCN! ,1.3,karmaticacid#1218,2022-06-15T22:00:00.000Z,
9828,1470,make sure epic swag eth bcn ,for making sure we have epic swag for ETH BCN! ,89.0,"Griff (💜,💜)#8888",2022-06-15T22:00:00.000Z,
9829,1471,shill giveth worldwid onlin offlin differ confer virtual festiv includ metafest consensi poap thing ,"for shilling giveth worldwide online and offline in different conferences and virtual festivals - including metafest, consensys and the POAP thing ",2.1,karmaticacid#1218,2022-06-22T22:00:00.000Z,
9830,1472,patienc go eth bcn particip room ticket ,for patience with me as we go through the ETH BCN participants for rooms and tickets ,13.0,jessveroes,2022-06-15T22:00:00.000Z,
9831,1473,shill giveth onboard new donor giveth booth eth bcn ,for shilling Giveth and onboarding new donors at the Giveth booth at ETH BCN ,55.0,"Griff (💜,💜)#8888",2022-07-13T22:00:00.000Z,
9832,1474,shill giveth onboard new donor giveth booth eth bcn ,for shilling Giveth and onboarding new donors at the Giveth booth at ETH BCN ,21.0,karmaticacid#1218,2022-07-13T22:00:00.000Z,
9835,1477,find channel miss prais bot ,for finding channels that are missing the Praise Bot ,13.0,karmaticacid#1218,2022-07-11T22:00:00.000Z,
9838,1480,respons hr stuff ,for being some responsive on HR stuff ,5.0,freshelle#9882,2022-06-22T22:00:00.000Z,
9839,1481,best dev team mate ,for being the best dev team mates ,3.0,MoeNick#1374,2022-06-22T22:00:00.000Z,
9841,1483, great human talk yesterday ,& for a great human talk yesterday ,5.0,ClaraZi#5313,2022-06-15T22:00:00.000Z,
9842,0,fastest respons even road provid amaz clariti around vote w snapshot vs garden help solv issu connect right peep ,"for the fastest responses even while being on the road, providing amazing clarity around voting w snapshot vs gardens and helping me out with solving an issues with connecting to the right peeps ",59.33,karmaticacid#1218,2022-07-27T22:00:00.000Z,
9846,4,make sure givpow smart contract test robust launch ,for making sure GIVpower smart contracts are tested and robust before launch ,52.33,Amin#2164,2022-08-10T22:00:00.000Z,
9847,5,ethcc talk ,for the ETHCC talk! ,9.77,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9848,6,present giveth pari ,and for presenting Giveth in Paris ,4.97,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9849,7,team ethcc ,and all the team in Ethcc!!! ,11.27,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9851,9,presenc ethcc pari ,presence at ethcc Paris ,9.77,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9852,10,fix givpow contract write test polish thing review ,"for fixing up GIVpower contracts, writing test & polishing things up for review ",54.0,Amin#2164,2022-08-03T22:00:00.000Z,
9853,11,awesom pm ,for being an awesome pm! ,7.17,MoeNick#1374,2022-08-03T22:00:00.000Z,
9855,13,repres giveth pari sure also sorri miss ,"for representing Giveth in Paris (not sure who's also there, sorry if I missed you) ",9.77,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9858,16,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",11.8,ClaraZi#5313,2022-07-18T22:00:00.000Z,
9861,19,complet  week graviton train togeth lot great practic experi desir learn better disput resolut aris everyday life insid outsid tool ,"for completing 10 weeks Graviton training together with lot of great practical experience and desire to learn and be better in any dispute resolution arising in everyday life, inside and outside ourselves. Now we have all the tools. ",59.33,Nikola Creatrix#5026,2022-07-27T22:00:00.000Z,
9863,21,hold fort commun well almost never need 🤣 ,for holding down the fort in community so well that I almost never am need there 🤣 ,78.5,WhyldWanderer#7002,2022-08-10T22:00:00.000Z,
9864,22,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",20.47,Danibelle the Uno and Only#6791,2022-07-18T22:00:00.000Z,
9866,24, allow nice ama today ,", and for allowing such a nice AMA today ",7.6,WhyldWanderer#7002,2022-08-09T22:00:00.000Z,
9867,25,onboard session week super use prais guidanc help hire prais reach partner learn togeth ,and for the onboarding sessions we have this week. They were super useful. !praise and for all their guidance and help with my hiring! !praise for reaching out and been down to partner with me to learn together. ,63.67,karmaticacid#1218,2022-08-04T22:00:00.000Z,
9868,26,onboard session week super use prais guidanc help hire prais reach partner learn togeth ,and for the onboarding sessions we have this week. They were super useful. !praise and for all their guidance and help with my hiring! !praise for reaching out and been down to partner with me to learn together. ,63.67,hanners717#2022,2022-08-04T22:00:00.000Z,
9869,27,write employ confirm letter get us llc address ,for writing an employment confirmation letter and getting us an LLC address. ,59.33,ahmad#7204,2022-08-03T22:00:00.000Z,
9871,29,anoth amaz ama orient call ,for another amazing AMA and orientation call! ,13.7,WhyldWanderer#7002,2022-08-09T22:00:00.000Z,
9874,32,everywher keep commun nice healthi ,for being everywhere and keeping the community $NICE & healthy ,78.5,WhyldWanderer#7002,2022-07-20T22:00:00.000Z,
9875,33,excel ama facilit appar someth love great resourc kind big heart diplomaci grace inspir import way repres ,"for excellent AMA facilitation. It is apparently something she loves and is great at. Your resourcefulness, kind & big heart, and diplomacy with grace are so inspiring and so important in the ways we all represent... ",72.4,WhyldWanderer#7002,2022-08-09T22:00:00.000Z,
9877,35,giveth giveth ,"for all she does for Giveth, you ARE Giveth ",66.33,karmaticacid#1218,2022-08-03T22:00:00.000Z,
9878,36, karmaticacid talk ethbcn repres giveth ,"@karmaticacid, & for talking at EthBCN & representing Giveth ",57.97,karmaticacid#1218,2022-07-18T22:00:00.000Z,
9879,37,excel wizardri angel vault record ,for his excel wizardry with the angel vault (and for the recordings) ,1.83,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9882,40,fastest respons even road provid amaz clariti around vote w snapshot vs garden help solv issu connect right peep ,"for the fastest responses even while being on the road, providing amazing clarity around voting w snapshot vs gardens and helping me out with solving an issues with connecting to the right peeps. ",56.13,karmaticacid#1218,2022-07-27T22:00:00.000Z,
9883,41,presenc ethcc pari ,presence at ethcc Paris ,12.93,karmaticacid#1218,2022-07-20T22:00:00.000Z,
9884,42,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",14.77,"Griff (💜,💜)#8888",2022-07-18T22:00:00.000Z,
9885,43,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",8.25,freshelle#9882,2022-07-18T22:00:00.000Z,
9890,48,parametr angel vault givpow reward alloc ,for parametrizing the angel vault and GIVpower reward allocations ,18.33,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9893,51, probabl other shill ethcc week ,(and probably others) for shilling in ETHcc this week! ,107.33,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9894,52, probabl other shill ethcc week ,(and probably others) for shilling in ETHcc this week! ,70.67,karmaticacid#1218,2022-07-20T22:00:00.000Z,
9895,53,rep giveth ethcc ,for repping Giveth at EThcc ,70.67,karmaticacid#1218,2022-07-27T22:00:00.000Z,
9897,55,rep giveth ethcc ,for repping Giveth at EThcc ,62.3,"Griff (💜,💜)#8888",2022-07-27T22:00:00.000Z,
9899,57,give excel spiel yet pari ethcc ,for giving his excellent spiel yet again in Paris during EthCC ,10.73,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9900,58,ana amaz talk ethcc panel ,for ana amazing talk at ethcc & panel ,10.73,"Griff (💜,💜)#8888",2022-07-20T22:00:00.000Z,
9901,59,pari shill giveth like real regeen ,for being in paris shilling giveth like real regeens ,17.27,karmaticacid#1218,2022-07-27T22:00:00.000Z,
9902,60,manag releas angel vault givpow ,for managing the releases of both the angel vault AND GIVpower! ,60.47,karmaticacid#1218,2022-08-03T22:00:00.000Z,
9903,61,audit givpow smart contract ,for auditing GIVpower smart contract ,89.0,invocamanman,2022-08-03T22:00:00.000Z,
9904,62,organ amaz return green amaz festiv refi talk almost k rais donat giveth project ,for organizing an amazing Return to Green an amazing festival with ReFi talks and almost 9K raised and donated to Giveth projects ,77.67,Terexitarius,2022-08-03T22:00:00.000Z,
9906,64,team ethcc ,and all the team in Ethcc!!! ,22.43,karmaticacid#1218,2022-07-20T22:00:00.000Z,
9907,65,visit freshel send good vibe ,for visiting Freshelle and sending good vibes to her. ,77.67,"Griff (💜,💜)#8888",2022-07-24T22:00:00.000Z,
9909,67,repres giveth pari sure also sorri miss ,"for representing Giveth in Paris (not sure who's also there, sorry if I missed you) ",35.6,karmaticacid#1218,2022-07-20T22:00:00.000Z,
9910,68,jump review givpow contract ❤️ ,for jumping into reviewing GIVpower contracts ❤️ ,8.9,invocamanman,2022-08-03T22:00:00.000Z,
9911,69,jump review givpow contract ❤️ ,for jumping into reviewing GIVpower contracts ❤️ ,89.0,gabi,2022-08-03T22:00:00.000Z,
9912,70,present giveth pari ,and for presenting Giveth in Paris ,17.27,karmaticacid#1218,2022-07-20T22:00:00.000Z,
9913,71,pari shill giveth like real regeen ,for being in paris shilling giveth like real regeens ,4.1,"Griff (💜,💜)#8888",2022-07-27T22:00:00.000Z,
9917,75,step help review givpow smart contract ,for stepping in to help with reviewing GIVpower smart contracts ,8.9,gabi,2022-08-10T22:00:00.000Z,
9918,76,support giveth hous find us amaz apart eth bcn ,for all the support at the Giveth house and finding us an amazing apartment for ETH BCN ,89.0,cuidadopeligro#4788,2022-07-27T22:00:00.000Z,
9919,77,step help review givpow smart contract ,for stepping in to help with reviewing GIVpower smart contracts ,8.9,invocamanman,2022-08-10T22:00:00.000Z,
9920,78,excel interview done ethbcn especi bring clear break someth complex whole philosophi futur vision ,"for her EXCELENT interview done at/for ETHBCN, especially bringing in such a clear break down of something so complex, our whole philosophy and future vision. ",71.13,karmaticacid#1218,2022-07-27T22:00:00.000Z,
9921,79,encourag support first project nomin nation butterfli center mission texa ,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. ",41.0,logonaut.eth,2022-08-04T22:00:00.000Z,
9923,81,execut juli payment ,for executing July payments ,84.67,"Griff (💜,💜)#8888",2022-08-03T22:00:00.000Z,
9924,82,present ethcc shill giveth public good micro economi cryptovers ,"for presenting at ETHcc, shilling Giveth and public good micro economies all over the cryptoverse ",96.0,"Griff (💜,💜)#8888",2022-07-27T22:00:00.000Z,
9925,83,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",4.43,karmaticacid#1218,2022-07-18T22:00:00.000Z,
9926,84,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",6.63,MoeNick#1374,2022-07-18T22:00:00.000Z,
9929,87,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",6.63,Amin#2164,2022-07-18T22:00:00.000Z,
9930,88,help mint ticket ethbcn help get ticket 💜 ,"for helping to mint a ticket for EthBCN for me, and for helping to get me a ticket 💜 ",35.0,karmaticacid#1218,2022-07-18T22:00:00.000Z,
9931,89,refactor subgraph make easier expand ,for refactoring the subgraph and making it easier to expand. ,34.0,Amin#2164,2022-08-03T22:00:00.000Z,
9932,90,awesom pm ,for being awesome PM ,33.17,MoeNick#1374,2022-07-20T22:00:00.000Z,
9933,91,great givpow test parti ,for the great GIVpower testing party ,6.47,Cotabe#4096,2022-08-03T22:00:00.000Z,
9934,92,proactiv build set angel vault ,for being proactive in building and setting up the Angel Vault ,35.67,Amin#2164,2022-07-20T22:00:00.000Z,
9936,94,ad expertis comm process plan ,for adding their expertise to comms process planning ,38.33,ahmad#7204,2022-08-14T22:00:00.000Z,
9938,96,coordin tester commun ichi badass ,"for coordinating testers, communicating with ICHI and being a badass ",35.67,Amin#2164,2022-07-31T22:00:00.000Z,
9939,97,consist enthusiasm within project verif team ,for her consistency and enthusiasm within the project verification team ,32.47,Nikola Creatrix#5026,2022-07-27T22:00:00.000Z,
9943,101,encourag support first project nomin nation butterfli center mission texa ,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. (from ) ",33.47,logonaut.eth,2022-08-04T22:00:00.000Z,
9946,104,awesom pm great eye detail ,for being an awesome PM with such great eyes for details ,7.47,MoeNick#1374,2022-07-20T22:00:00.000Z,
9948,106,machin fix givpow issu ,for being a MACHINE with fixing GIVpower issues ,43.67,Cherik#4711,2022-08-03T22:00:00.000Z,
9950,108,catch potenti vulner ,for catching potential vulnerabilities ,39.33,divine_comedian#5493,2022-07-20T22:00:00.000Z,
9954,112,amaz ethbcn experi dinner hug great time proud part giveth fam wait meet 💜 ,"for the most amazing EthBCN experience, all the dinners, hugs & great times. I'm so proud to be part of the Giveth fam. Can't wait to meet up again! 💜 ",33.03,willyfox#1178,2022-07-18T22:00:00.000Z,
9955,113,write newslett juli ,for writing the newsletter for july ,36.67,ahmad#7204,2022-07-29T22:00:00.000Z,
9956,114,dev test angel vault get countdown product w hitch morn ,for devving & testing the Angel Vault & getting the countdown on production w/o a hitch this morning ,39.33,Amin#2164,2022-07-31T22:00:00.000Z,
9958,116,set review angel vault initi tx ,for setting & review angel vault initialization txs ,36.67,Amin#2164,2022-07-29T22:00:00.000Z,
9963,121,great brain dump super creativ final countdown wg session ,for a great brain dump and super creative final countdown WG session ,41.0,Rainer#4613,2022-08-10T22:00:00.000Z,
9967,125,collabor line giveth project start receiv benefit panvala stamp program ,for collaborating to line up Giveth projects that will start receiving benefits from the Panvala Stamp program ,52.33,Niran | Panvala#9353,2022-07-27T22:00:00.000Z,
9968,126,make updat giveth swag shop price ship rate prepar nice token launch ,"for making updates to the giveth swag shop, prices, shipping rates and more in preparation for $nice token launch ",52.33,kkechy#2713,2022-07-19T22:00:00.000Z,
9969,127,secur meet powerinsid meet went well ,and for doing security meetings and the PowerInside meeting which went well ,7.73,brodhisattva#3152,2022-08-03T22:00:00.000Z,
